"iata_code","iana_tz","windows_tz"
"DET","America/Detroit","Eastern Standard Time"
"DEX","Asia/Jayapura","Tokyo Standard Time"
"DEZ","Asia/Damascus","Syria Standard Time"
"DFA","Asia/Shanghai","China Standard Time"
"DFI","America/New_York","Eastern Standard Time"
"DFP","Australia/Brisbane","E. Australia Standard Time"
"DFW","America/Chicago","Central Standard Time"
"DGA","America/Belize","Central America Standard Time"
"DGD","Australia/Perth","W. Australia Standard Time"
"DGE","Australia/Sydney","AUS Eastern Standard Time"
"DGF","America/Vancouver","Pacific Standard Time"
"DGH","Asia/Kolkata","India Standard Time"
"DGL","America/Hermosillo","US Mountain Standard Time"
"DGM","Asia/Colombo","Sri Lanka Standard Time"
"DGN","America/New_York","Eastern Standard Time"
"DGO","America/Monterrey","Central Standard Time (Mexico)"
"DGP","Europe/Riga","FLE Standard Time"
"DGR","Pacific/Auckland","New Zealand Standard Time"
"DGT","Asia/Manila","Singapore Standard Time"
"DGU","Africa/Ouagadougou","Greenwich Standard Time"
"DGW","America/Denver","Mountain Standard Time"
"DHA","Asia/Riyadh","Arab Standard Time"
"DHB","America/Los_Angeles","Pacific Standard Time"
"DHD","Australia/Brisbane","E. Australia Standard Time"
"DHF","Asia/Dubai","Arabian Standard Time"
"DHG","Asia/Vladivostok","Vladivostok Standard Time"
"DHI","Asia/Kathmandu","Nepal Standard Time"
"DHL","Asia/Aden","Arab Standard Time"
"DHM","Asia/Kolkata","India Standard Time"
"DHN","America/Chicago","Central Standard Time"
"DHR","Europe/Amsterdam","W. Europe Standard Time"
"DHT","America/Chicago","Central Standard Time"
"DIA","Asia/Qatar","Arab Standard Time"
"DIB","Asia/Kolkata","India Standard Time"
"DIE","Indian/Antananarivo","E. Africa Standard Time"
"DIG","Asia/Shanghai","China Standard Time"
"DIJ","Europe/Paris","Romance Standard Time"
"DIK","America/Denver","Mountain Standard Time"
"DIL","Asia/Dili","Tokyo Standard Time"
"DIM","Africa/Abidjan","Greenwich Standard Time"
"DIN","Asia/Bangkok","SE Asia Standard Time"
"DIP","Africa/Ouagadougou","Greenwich Standard Time"
"DIQ","America/Sao_Paulo","E. South America Standard Time"
"DIR","Africa/Addis_Ababa","E. Africa Standard Time"
"DIS","Africa/Brazzaville","W. Central Africa Standard Time"
"DIU","Asia/Kolkata","India Standard Time"
"DIW","Asia/Colombo","Sri Lanka Standard Time"
"DIY","Europe/Istanbul","Turkey Standard Time"
"DJA","Africa/Porto-Novo","W. Central Africa Standard Time"
"DJB","Asia/Jakarta","SE Asia Standard Time"
"DJE","Africa/Tunis","W. Central Africa Standard Time"
"DJG","Africa/Algiers","W. Central Africa Standard Time"
"DJH","Asia/Dubai","Arabian Standard Time"
"DJJ","Asia/Jayapura","Tokyo Standard Time"
"DJM","Africa/Brazzaville","W. Central Africa Standard Time"
"DJN","America/Anchorage","Alaskan Standard Time"
"DJO","Africa/Abidjan","Greenwich Standard Time"
"DJR","Australia/Brisbane","E. Australia Standard Time"
"DJU","Atlantic/Reykjavik","Greenwich Standard Time"
"DKA","Africa/Lagos","W. Central Africa Standard Time"
"DKI","Australia/Brisbane","E. Australia Standard Time"
"DKK","America/New_York","Eastern Standard Time"
"DKR","Africa/Dakar","Greenwich Standard Time"
"DKS","Asia/Krasnoyarsk","North Asia Standard Time"
"DKV","Australia/Darwin","AUS Central Standard Time"
"DLA","Africa/Douala","W. Central Africa Standard Time"
"DLC","Asia/Shanghai","China Standard Time"
"DLD","Europe/Oslo","W. Europe Standard Time"
"DLE","Europe/Paris","Romance Standard Time"
"DLF","America/Chicago","Central Standard Time"
"DLG","America/Anchorage","Alaskan Standard Time"
"DLH","America/Chicago","Central Standard Time"
"DLI","Asia/Ho_Chi_Minh","SE Asia Standard Time"
"DLK","Australia/Adelaide","Cen. Australia Standard Time"
"DLL","America/New_York","Eastern Standard Time"
"DLM","Europe/Istanbul","Turkey Standard Time"
"DLN","America/Denver","Mountain Standard Time"
"DLR","Asia/Vladivostok","Vladivostok Standard Time"
"DLS","America/Los_Angeles","Pacific Standard Time"
"DLU","Asia/Shanghai","China Standard Time"
"DLV","Australia/Darwin","AUS Central Standard Time"
"DLY","Pacific/Efate","Central Pacific Standard Time"
"DLZ","Asia/Ulaanbaatar","Ulaanbaatar Standard Time"
"DMA","America/Phoenix","US Mountain Standard Time"
"DMB","Asia/Almaty","Central Asia Standard Time"
"DMD","Australia/Brisbane","E. Australia Standard Time"
"DME","Europe/Moscow","Russian Standard Time"
"DMK","Asia/Bangkok","SE Asia Standard Time"
"DMM","Asia/Riyadh","Arab Standard Time"
"DMN","America/Denver","Mountain Standard Time"
"DMO","America/Chicago","Central Standard Time"
"DMT","America/Cuiaba","Central Brazilian Standard Time"
"DMU","Asia/Kolkata","India Standard Time"
"DNA","Asia/Tokyo","Tokyo Standard Time"
"DNB","Australia/Brisbane","E. Australia Standard Time"
"DND","Europe/London","GMT Standard Time"
"DNF","Africa/Tripoli","Libya Standard Time"
"DNG","Australia/Perth","W. Australia Standard Time"
"DNH","Asia/Shanghai","China Standard Time"
"DNK","Europe/Kiev","FLE Standard Time"
"DNL","America/New_York","Eastern Standard Time"
"DNN","America/New_York","Eastern Standard Time"
"DNO","America/Araguaina","Tocantins Standard Time"
"DNP","Asia/Kathmandu","Nepal Standard Time"
"DNQ","Australia/Sydney","AUS Eastern Standard Time"
"DNR","Europe/Paris","Romance Standard Time"
"DNS","America/Chicago","Central Standard Time"
"DNU","Pacific/Port_Moresby","West Pacific Standard Time"
"DNV","America/Chicago","Central Standard Time"
"DNX","Africa/Khartoum","Sudan Standard Time"
"DNZ","Europe/Istanbul","Turkey Standard Time"
"DOA","Indian/Antananarivo","E. Africa Standard Time"
"DOB","Asia/Jayapura","Tokyo Standard Time"
"DOC","Europe/London","GMT Standard Time"
"DOD","Africa/Dar_es_Salaam","E. Africa Standard Time"
"DOE","America/Paramaribo","SA Eastern Standard Time"
"DOG","Africa/Khartoum","Sudan Standard Time"
"DOH","Asia/Qatar","Arab Standard Time"
"DOI","Pacific/Port_Moresby","West Pacific Standard Time"
"DOL","Europe/Paris","Romance Standard Time"
"DOM","America/Dominica","SA Western Standard Time"
"DON","America/Guatemala","Central America Standard Time"
"DOO","Pacific/Port_Moresby","West Pacific Standard Time"
"DOP","Asia/Kathmandu","Nepal Standard Time"
"DOR","Africa/Ouagadougou","Greenwich Standard Time"
"DOU","America/Campo_Grande","Central Brazilian Standard Time"
"DOV","America/New_York","Eastern Standard Time"
"DOX","Australia/Perth","W. Australia Standard Time"
"DOY","Asia/Shanghai","China Standard Time"
"DPA","America/Chicago","Central Standard Time"
"DPB","America/Punta_Arenas","Magallanes Standard Time"
"DPE","Europe/Paris","Romance Standard Time"
"DPG","America/Denver","Mountain Standard Time"
"DPL","Asia/Manila","Singapore Standard Time"
"DPO","Australia/Hobart","Tasmania Standard Time"
"DPS","Asia/Makassar","Singapore Standard Time"
"DPT","Asia/Vladivostok","Vladivostok Standard Time"
"DQA","Asia/Shanghai","China Standard Time"
"DQH","America/Anchorage","Alaskan Standard Time"
"DQM","Asia/Muscat","Arabian Standard Time"
"DRA","America/Los_Angeles","Pacific Standard Time"
"DRB","Australia/Perth","W. Australia Standard Time"
"DRC","Africa/Luanda","W. Central Africa Standard Time"
"DRD","Australia/Brisbane","E. Australia Standard Time"
"DRE","America/Detroit","Eastern Standard Time"
"DRF","America/Anchorage","Alaskan Standard Time"
"DRG","America/Nome","Alaskan Standard Time"
"DRH","Asia/Jayapura","Tokyo Standard Time"
"DRI","America/Chicago","Central Standard Time"
"DRJ","America/Paramaribo","SA Eastern Standard Time"
"DRK","America/Costa_Rica","Central America Standard Time"
"DRN","Australia/Brisbane","E. Australia Standard Time"
"DRO","America/Denver","Mountain Standard Time"
"DRR","Australia/Brisbane","E. Australia Standard Time"
"DRS","Europe/Berlin","W. Europe Standard Time"
"DRT","America/Chicago","Central Standard Time"
"DRU","America/Denver","Mountain Standard Time"
"DRV","Indian/Maldives","West Asia Standard Time"
"DRW","Australia/Darwin","AUS Central Standard Time"
"DRY","Australia/Perth","W. Australia Standard Time"
"DSA","Europe/London","GMT Standard Time"
"DSC","Africa/Douala","W. Central Africa Standard Time"
"DSD","America/Guadeloupe","SA Western Standard Time"
"DSE","Africa/Addis_Ababa","E. Africa Standard Time"
"DSG","Asia/Manila","Singapore Standard Time"
"DSI","America/Chicago","Central Standard Time"
"DSK","Asia/Karachi","Pakistan Standard Time"
"DSM","America/Chicago","Central Standard Time"
"DSN","Asia/Shanghai","China Standard Time"
"DSO","Asia/Pyongyang","North Korea Standard Time"
"DSS","Africa/Dakar","Greenwich Standard Time"
"DSV","America/New_York","Eastern Standard Time"
"DSX","Asia/Taipei","Taipei Standard Time"
"DSY","Asia/Phnom_Penh","SE Asia Standard Time"
"DTA","America/Denver","Mountain Standard Time"
"DTB","Asia/Jakarta","SE Asia Standard Time"
"DTD","Asia/Makassar","Singapore Standard Time"
"DTE","Asia/Manila","Singapore Standard Time"
"DTH","America/Los_Angeles","Pacific Standard Time"
"DTI","America/Sao_Paulo","E. South America Standard Time"
"DTL","America/Chicago","Central Standard Time"
"DTM","Europe/Berlin","W. Europe Standard Time"
"DTN","America/Chicago","Central Standard Time"
"DTR","America/Los_Angeles","Pacific Standard Time"
"DTU","Asia/Shanghai","China Standard Time"
"DTW","America/Detroit","Eastern Standard Time"
"DUA","America/Chicago","Central Standard Time"
"DUB","Europe/Dublin","GMT Standard Time"
"DUC","America/Chicago","Central Standard Time"
"DUD","Pacific/Auckland","New Zealand Standard Time"
"DUE","Africa/Luanda","W. Central Africa Standard Time"
"DUF","America/New_York","Eastern Standard Time"
"DUG","America/Phoenix","US Mountain Standard Time"
"DUJ","America/New_York","Eastern Standard Time"
"DUK","Africa/Johannesburg","South Africa Standard Time"
"DUM","Asia/Jakarta","SE Asia Standard Time"
"DUQ","America/Vancouver","Pacific Standard Time"
"DUR","Africa/Johannesburg","South Africa Standard Time"
"DUS","Europe/Berlin","W. Europe Standard Time"
"DUT","America/Nome","Alaskan Standard Time"
"DVD","Indian/Antananarivo","E. Africa Standard Time"
"DVK","America/Yellowknife","Mountain Standard Time"
"DVL","America/Chicago","Central Standard Time"
"DVN","America/Chicago","Central Standard Time"
"DVO","Asia/Manila","Singapore Standard Time"
"DVP","Australia/Brisbane","E. Australia Standard Time"
"DVR","Australia/Darwin","AUS Central Standard Time"
"DVT","America/Phoenix","US Mountain Standard Time"
"DWA","Africa/Blantyre","South Africa Standard Time"
"DWB","Indian/Antananarivo","E. Africa Standard Time"
"DWC","Asia/Dubai","Arabian Standard Time"
"DWD","Asia/Riyadh","Arab Standard Time"
"DWH","America/Chicago","Central Standard Time"
"DWO","Asia/Colombo","Sri Lanka Standard Time"
"DWR","Asia/Kabul","Afghanistan Standard Time"
"DWS","Asia/Shanghai","China Standard Time"
"DXB","Asia/Dubai","Arabian Standard Time"
"DXD","Australia/Brisbane","E. Australia Standard Time"
"DXE","America/Chicago","Central Standard Time"
"DXR","America/New_York","Eastern Standard Time"
"DYA","Australia/Brisbane","E. Australia Standard Time"
"DYG","Asia/Shanghai","China Standard Time"
"DYL","America/New_York","Eastern Standard Time"
"DYM","Australia/Brisbane","E. Australia Standard Time"
"DYR","Asia/Anadyr","Russia Time Zone 11"
"DYS","America/Chicago","Central Standard Time"
"DYU","Asia/Dushanbe","West Asia Standard Time"
"DYW","Australia/Darwin","AUS Central Standard Time"
"DZA","Indian/Mayotte","E. Africa Standard Time"
"DZH","Asia/Shanghai","China Standard Time"
"DZI","America/Bogota","SA Pacific Standard Time"
"DZN","Asia/Almaty","Central Asia Standard Time"
"DZO","America/Montevideo","Montevideo Standard Time"
"DZU","Asia/Shanghai","China Standard Time"
"EAA","America/Anchorage","Alaskan Standard Time"
"EAB","Asia/Aden","Arab Standard Time"
"EAE","Pacific/Efate","Central Pacific Standard Time"
"EAL","Pacific/Kwajalein","UTC+12"
"EAM","Asia/Riyadh","Arab Standard Time"
"EAN","America/Denver","Mountain Standard Time"
"EAR","America/Chicago","Central Standard Time"
"EAS","Europe/Madrid","Romance Standard Time"
"EAT","America/Los_Angeles","Pacific Standard Time"
"EAU","America/Chicago","Central Standard Time"
"EBA","Europe/Rome","W. Europe Standard Time"
"EBB","Africa/Kampala","E. Africa Standard Time"
"EBD","Africa/Khartoum","Sudan Standard Time"
"EBG","America/Bogota","SA Pacific Standard Time"
"EBH","Africa/Algiers","W. Central Africa Standard Time"
"EBJ","Europe/Copenhagen","Romance Standard Time"
"EBL","Asia/Baghdad","Arabic Standard Time"
"EBM","Africa/Tunis","W. Central Africa Standard Time"
"EBN","Pacific/Kwajalein","UTC+12"
"EBO","Pacific/Majuro","UTC+12"
"EBS","America/Chicago","Central Standard Time"
"EBU","Europe/Paris","Romance Standard Time"
"EBW","Africa/Douala","W. Central Africa Standard Time"
"ECA","America/Detroit","Eastern Standard Time"
"ECG","America/New_York","Eastern Standard Time"
"ECH","Australia/Melbourne","AUS Eastern Standard Time"
"ECI","America/Managua","Central America Standard Time"
"ECN","Asia/Famagusta","GTB Standard Time"
"ECO","America/Bogota","SA Pacific Standard Time"
"ECP","America/Chicago","Central Standard Time"
"ECR","America/Bogota","SA Pacific Standard Time"
"ECS","America/Denver","Mountain Standard Time"
"ECV","Europe/Madrid","Romance Standard Time"
"EDA","America/Sitka","Alaskan Standard Time"
"EDB","Africa/Khartoum","Sudan Standard Time"
"EDD","Australia/Darwin","AUS Central Standard Time"
"EDE","America/New_York","Eastern Standard Time"
"EDF","America/Anchorage","Alaskan Standard Time"
"EDI","Europe/London","GMT Standard Time"
"EDK","America/Chicago","Central Standard Time"
"EDL","Africa/Nairobi","E. Africa Standard Time"
"EDM","Europe/Paris","Romance Standard Time"
"EDN","Asia/Vladivostok","Vladivostok Standard Time"
"EDO","Europe/Istanbul","Turkey Standard Time"
"EDQ","America/Tegucigalpa","Central America Standard Time"
"EDR","Australia/Brisbane","E. Australia Standard Time"
"EDW","America/Los_Angeles","Pacific Standard Time"
"EEA","America/Sao_Paulo","E. South America Standard Time"
"EED","America/Los_Angeles","Pacific Standard Time"
"EEK","America/Nome","Alaskan Standard Time"
"EEN","America/New_York","Eastern Standard Time"
"EES","Africa/Cairo","Egypt Standard Time"
"EFD","America/Chicago","Central Standard Time"
"EFG","Pacific/Port_Moresby","West Pacific Standard Time"
"EFK","America/New_York","Eastern Standard Time"
"EFL","Europe/Athens","GTB Standard Time"
"EFW","America/Chicago","Central Standard Time"
"EGA","Pacific/Port_Moresby","West Pacific Standard Time"
"EGC","Europe/Paris","Romance Standard Time"
"EGE","America/Denver","Mountain Standard Time"
"EGH","Africa/Cairo","Egypt Standard Time"
"EGI","America/Chicago","Central Standard Time"
"EGL","Africa/Addis_Ababa","E. Africa Standard Time"
"EGM","Pacific/Guadalcanal","Central Pacific Standard Time"
"EGN","Africa/Khartoum","Sudan Standard Time"
"EGO","Europe/Moscow","Russian Standard Time"
"EGP","America/Chicago","Central Standard Time"
"EGS","Atlantic/Reykjavik","Greenwich Standard Time"
"EGV","America/Chicago","Central Standard Time"
"EGX","America/Anchorage","Alaskan Standard Time"
"EHL","America/Argentina/Salta","Argentina Standard Time"
"EHM","America/Nome","Alaskan Standard Time"
"EHT","America/New_York","Eastern Standard Time"
"EIB","Europe/Berlin","W. Europe Standard Time"
"EIE","Asia/Krasnoyarsk","North Asia Standard Time"
"EIH","Australia/Brisbane","E. Australia Standard Time"
"EIK","Europe/Moscow","Russian Standard Time"
"EIL","America/Anchorage","Alaskan Standard Time"
"EIN","Europe/Amsterdam","W. Europe Standard Time"
"EIS","America/Tortola","SA Western Standard Time"
"EIY","Asia/Amman","Jordan Standard Time"
"EJA","America/Bogota","SA Pacific Standard Time"
"EJH","Asia/Riyadh","Arab Standard Time"
"EJN","Asia/Shanghai","China Standard Time"
"EJT","Pacific/Majuro","UTC+12"
"EKA","America/Los_Angeles","Pacific Standard Time"
"EKB","Asia/Almaty","Central Asia Standard Time"
"EKD","Australia/Darwin","AUS Central Standard Time"
"EKI","America/Indiana/Indianapolis","US Eastern Standard Time"
"EKN","America/New_York","Eastern Standard Time"
"EKO","America/Los_Angeles","Pacific Standard Time"
"EKS","Asia/Sakhalin","Sakhalin Standard Time"
"EKT","Europe/Stockholm","W. Europe Standard Time"
"EKX","America/New_York","Eastern Standard Time"
"ELA","America/Chicago","Central Standard Time"
"ELB","America/Bogota","SA Pacific Standard Time"
"ELC","Australia/Darwin","AUS Central Standard Time"
"ELD","America/Chicago","Central Standard Time"
"ELE","America/Panama","SA Pacific Standard Time"
"ELF","Africa/Khartoum","Sudan Standard Time"
"ELG","Africa/Algiers","W. Central Africa Standard Time"
"ELH","America/Nassau","Eastern Standard Time"
"ELI","America/Nome","Alaskan Standard Time"
"ELJ","America/Bogota","SA Pacific Standard Time"
"ELK","America/Chicago","Central Standard Time"
"ELL","Africa/Johannesburg","South Africa Standard Time"
"ELM","America/New_York","Eastern Standard Time"
"ELN","America/Los_Angeles","Pacific Standard Time"
"ELO","America/Argentina/Cordoba","Argentina Standard Time"
"ELP","America/Denver","Mountain Standard Time"
"ELQ","Asia/Riyadh","Arab Standard Time"
"ELR","Asia/Jayapura","Tokyo Standard Time"
"ELS","Africa/Johannesburg","South Africa Standard Time"
"ELT","Africa/Cairo","Egypt Standard Time"
"ELU","Africa/Algiers","W. Central Africa Standard Time"
"ELV","America/Juneau","Alaskan Standard Time"
"ELW","America/Anchorage","Alaskan Standard Time"
"ELX","America/Caracas","Venezuela Standard Time"
"ELY","America/Los_Angeles","Pacific Standard Time"
"ELZ","America/New_York","Eastern Standard Time"
"EMA","Europe/London","GMT Standard Time"
"EMD","Australia/Brisbane","E. Australia Standard Time"
"EME","Europe/Berlin","W. Europe Standard Time"
"EMG","Africa/Johannesburg","South Africa Standard Time"
"EMI","Pacific/Port_Moresby","West Pacific Standard Time"
"EMK","America/Nome","Alaskan Standard Time"
"EML","Europe/Zurich","W. Europe Standard Time"
"EMM","America/Denver","Mountain Standard Time"
"EMN","Africa/Nouakchott","Greenwich Standard Time"
"EMO","Pacific/Port_Moresby","West Pacific Standard Time"
"EMP","America/Chicago","Central Standard Time"
"EMR","America/Guatemala","Central America Standard Time"
"EMS","Pacific/Port_Moresby","West Pacific Standard Time"
"EMT","America/Los_Angeles","Pacific Standard Time"
"EMX","America/Argentina/Catamarca","Argentina Standard Time"
"EMY","Africa/Cairo","Egypt Standard Time"
"ENA","America/Anchorage","Alaskan Standard Time"
"ENB","Australia/Perth","W. Australia Standard Time"
"ENC","Europe/Paris","Romance Standard Time"
"END","America/Chicago","Central Standard Time"
"ENE","Asia/Makassar","Singapore Standard Time"
"ENF","Europe/Helsinki","FLE Standard Time"
"ENH","Asia/Shanghai","China Standard Time"
"ENI","Asia/Manila","Singapore Standard Time"
"ENJ","America/Guatemala","Central America Standard Time"
"ENK","Europe/London","GMT Standard Time"
"ENL","America/Chicago","Central Standard Time"
"ENN","America/Anchorage","Alaskan Standard Time"
"ENO","America/Asuncion","Paraguay Standard Time"
"ENS","Europe/Amsterdam","W. Europe Standard Time"
"ENT","Pacific/Majuro","UTC+12"
"ENU","Africa/Lagos","W. Central Africa Standard Time"
"ENV","America/Denver","Mountain Standard Time"
"ENW","America/Chicago","Central Standard Time"
"ENY","Asia/Shanghai","China Standard Time"
"EOH","America/Bogota","SA Pacific Standard Time"
"EOI","Europe/London","GMT Standard Time"
"EOK","America/Chicago","Central Standard Time"
"EOR","America/Caracas","Venezuela Standard Time"
"EOZ","America/Caracas","Venezuela Standard Time"
"EPA","America/Argentina/Buenos_Aires","Argentina Standard Time"
"EPG","America/Chicago","Central Standard Time"
"EPH","America/Los_Angeles","Pacific Standard Time"
"EPL","Europe/Paris","Romance Standard Time"
"EPR","Australia/Perth","W. Australia Standard Time"
"EPT","Pacific/Port_Moresby","West Pacific Standard Time"
"EPU","Europe/Tallinn","FLE Standard Time"
"EQS","America/Argentina/Catamarca","Argentina Standard Time"
"ERA","Africa/Mogadishu","E. Africa Standard Time"
"ERB","Australia/Adelaide","Cen. Australia Standard Time"
"ERC","Europe/Istanbul","Turkey Standard Time"
"ERE","Pacific/Port_Moresby","West Pacific Standard Time"
"ERF","Europe/Berlin","W. Europe Standard Time"
"ERG","Asia/Irkutsk","North Asia East Standard Time"
"ERH","Africa/Casablanca","Morocco Standard Time"
"ERI","America/New_York","Eastern Standard Time"
"ERL","Asia/Shanghai","China Standard Time"
"ERM","America/Sao_Paulo","E. South America Standard Time"
"ERN","America/Eirunepe","SA Pacific Standard Time"
"ERQ","Australia/Brisbane","E. Australia Standard Time"
"ERR","America/New_York","Eastern Standard Time"
"ERS","Africa/Windhoek","Namibia Standard Time"
"ERT","Asia/Ulaanbaatar","Ulaanbaatar Standard Time"
"ERU","Pacific/Port_Moresby","West Pacific Standard Time"
"ERV","America/Chicago","Central Standard Time"
"ERZ","Europe/Istanbul","Turkey Standard Time"
"ESA","Pacific/Port_Moresby","West Pacific Standard Time"
"ESB","Europe/Istanbul","Turkey Standard Time"
"ESC","America/Detroit","Eastern Standard Time"
"ESD","America/Los_Angeles","Pacific Standard Time"
"ESE","America/Tijuana","Pacific Standard Time (Mexico)"
"ESF","America/Chicago","Central Standard Time"
"ESG","America/Asuncion","Paraguay Standard Time"
"ESH","Europe/London","GMT Standard Time"
"ESI","America/Sao_Paulo","E. South America Standard Time"
"ESK","Europe/Istanbul","Turkey Standard Time"
"ESL","Europe/Moscow","Russian Standard Time"
"ESM","America/Guayaquil","SA Pacific Standard Time"
"ESN","America/New_York","Eastern Standard Time"
"ESO","America/Denver","Mountain Standard Time"
"ESP","America/New_York","Eastern Standard Time"
"ESR","America/Santiago","Pacific SA Standard Time"
"ESS","Europe/Berlin","W. Europe Standard Time"
"EST","America/Chicago","Central Standard Time"
"ESU","Africa/Casablanca","Morocco Standard Time"
"ESW","America/Los_Angeles","Pacific Standard Time"
"ETB","America/Chicago","Central Standard Time"
"ETD","Australia/Adelaide","Cen. Australia Standard Time"
"ETE","Africa/Addis_Ababa","E. Africa Standard Time"
"ETL","Asia/Vladivostok","Vladivostok Standard Time"
"ETM","Asia/Amman","Jordan Standard Time"
"ETN","America/Chicago","Central Standard Time"
"ETR","America/Guayaquil","SA Pacific Standard Time"
"ETS","America/Chicago","Central Standard Time"
"ETZ","Europe/Paris","Romance Standard Time"
"EUA","Pacific/Tongatapu","Tonga Standard Time"
"EUC","Australia/Eucla","Aus Central W. Standard Time"
"EUE","America/Los_Angeles","Pacific Standard Time"
"EUF","America/Chicago","Central Standard Time"
"EUG","America/Los_Angeles","Pacific Standard Time"
"EUM","Europe/Berlin","W. Europe Standard Time"
"EUN","Africa/El_Aaiun","Morocco Standard Time"
"EUO","America/Bogota","SA Pacific Standard Time"
"EUQ","Asia/Manila","Singapore Standard Time"
"EUX","America/Kralendijk","SA Western Standard Time"
"EVD","Australia/Darwin","AUS Central Standard Time"
"EVE","Europe/Oslo","W. Europe Standard Time"
"EVG","Europe/Stockholm","W. Europe Standard Time"
"EVH","Australia/Sydney","AUS Eastern Standard Time"
"EVM","America/Chicago","Central Standard Time"
"EVN","Asia/Yerevan","Caucasus Standard Time"
"EVV","America/Chicago","Central Standard Time"
"EVW","America/Denver","Mountain Standard Time"
"EVX","Europe/Paris","Romance Standard Time"
"EWB","America/New_York","Eastern Standard Time"
"EWE","Asia/Jayapura","Tokyo Standard Time"
"EWI","Asia/Jayapura","Tokyo Standard Time"
"EWK","America/Chicago","Central Standard Time"
"EWN","America/New_York","Eastern Standard Time"
"EWO","Africa/Brazzaville","W. Central Africa Standard Time"
"EWR","America/New_York","Eastern Standard Time"
"EXI","America/Juneau","Alaskan Standard Time"
"EXM","Australia/Perth","W. Australia Standard Time"
"EXT","Europe/London","GMT Standard Time"
"EYK","Asia/Yekaterinburg","Ekaterinburg Standard Time"
"EYL","Africa/Bamako","Greenwich Standard Time"
"EYP","America/Bogota","SA Pacific Standard Time"
"EYR","America/Los_Angeles","Pacific Standard Time"
"EYS","Africa/Nairobi","E. Africa Standard Time"
"EYW","America/New_York","Eastern Standard Time"
"EZE","America/Argentina/Buenos_Aires","Argentina Standard Time"
"EZS","Europe/Istanbul","Turkey Standard Time"
"EZV","Asia/Yekaterinburg","Ekaterinburg Standard Time"
"FAA","Africa/Conakry","Greenwich Standard Time"
"FAB","Europe/London","GMT Standard Time"
"FAC","Pacific/Tahiti","Hawaiian Standard Time"
"FAE","Atlantic/Faroe","GMT Standard Time"
"FAF","America/New_York","Eastern Standard Time"
"FAG","Atlantic/Reykjavik","Greenwich Standard Time"
"FAH","Asia/Kabul","Afghanistan Standard Time"
"FAI","America/Anchorage","Alaskan Standard Time"
"FAK","America/Sitka","Alaskan Standard Time"
"FAM","America/Chicago","Central Standard Time"
"FAN","Europe/Oslo","W. Europe Standard Time"
"FAO","Europe/Lisbon","GMT Standard Time"
"FAQ","Pacific/Port_Moresby","West Pacific Standard Time"
"FAR","America/Chicago","Central Standard Time"
"FAS","Atlantic/Reykjavik","Greenwich Standard Time"
"FAT","America/Los_Angeles","Pacific Standard Time"
"FAU","Asia/Muscat","Arabian Standard Time"
"FAV","Pacific/Tahiti","Hawaiian Standard Time"
"FAY","America/New_York","Eastern Standard Time"
"FAZ","Asia/Tehran","Iran Standard Time"
"FBA","America/Manaus","SA Western Standard Time"
"FBD","Asia/Kabul","Afghanistan Standard Time"
"FBE","America/Sao_Paulo","E. South America Standard Time"
"FBG","America/New_York","Eastern Standard Time"
"FBK","America/Anchorage","Alaskan Standard Time"
"FBL","America/Chicago","Central Standard Time"
"FBM","Africa/Lubumbashi","South Africa Standard Time"
"FBR","America/Denver","Mountain Standard Time"
"FBS","America/Los_Angeles","Pacific Standard Time"
"FBY","America/Chicago","Central Standard Time"
"FCA","America/Denver","Mountain Standard Time"
"FCB","Africa/Johannesburg","South Africa Standard Time"
"FCH","America/Los_Angeles","Pacific Standard Time"
"FCM","America/Chicago","Central Standard Time"
"FCN","Europe/Berlin","W. Europe Standard Time"
"FCO","Europe/Rome","W. Europe Standard Time"
"FCS","America/Denver","Mountain Standard Time"
"FCY","America/Chicago","Central Standard Time"
"FDA","America/Bogota","SA Pacific Standard Time"
"FDE","Europe/Oslo","W. Europe Standard Time"
"FDF","America/Martinique","SA Western Standard Time"
"FDH","Europe/Berlin","W. Europe Standard Time"
"FDK","America/New_York","Eastern Standard Time"
"FDR","America/Chicago","Central Standard Time"
"FDU","Africa/Kinshasa","W. Central Africa Standard Time"
"FDY","America/New_York","Eastern Standard Time"
"FEA","Europe/London","GMT Standard Time"
"FEB","Asia/Kathmandu","Nepal Standard Time"
"FEC","America/Bahia","Bahia Standard Time"
"FEG","Asia/Tashkent","West Asia Standard Time"
"FEJ","America/Rio_Branco","SA Pacific Standard Time"
"FEN","America/Noronha","UTC-02"
"FEP","America/Chicago","Central Standard Time"
"FET","America/Chicago","Central Standard Time"
"FEZ","Africa/Casablanca","Morocco Standard Time"
"FFA","America/New_York","Eastern Standard Time"
"FFD","Europe/London","GMT Standard Time"
"FFL","America/Chicago","Central Standard Time"
"FFM","America/Chicago","Central Standard Time"
"FFO","America/New_York","Eastern Standard Time"
"FFT","America/New_York","Eastern Standard Time"
"FFU","America/Santiago","Pacific SA Standard Time"
"FGD","Africa/Nouakchott","Greenwich Standard Time"
"FGU","Pacific/Tahiti","Hawaiian Standard Time"
"FHU","America/Phoenix","US Mountain Standard Time"
"FHZ","Pacific/Tahiti","Hawaiian Standard Time"
"FID","America/New_York","Eastern Standard Time"
"FIE","Europe/London","GMT Standard Time"
"FIG","Africa/Conakry","Greenwich Standard Time"
"FIH","Africa/Kinshasa","W. Central Africa Standard Time"
"FIK","Australia/Darwin","AUS Central Standard Time"
